Job Title,Salary,Work-Life Balance,Ethical Practices,Decent
Civil Engineer,78000,4,4,1
Police Officer,60000,3,3,0
Bartender,25000,2,2,0
Accountant,65000,4,5,1
Psychologist,80000,5,5,1
Electrician,50000,3,3,1
Chef,40000,3,3,0
Real Estate Agent,55000,4,3,1
Pharmacist,105000,5,5,1
Legal Assistant,45000,4,4,1
Dentist,130000,5,5,1
Lawyer,115000,4,4,1
Journalist,55000,3,4,0
Veterinarian,90000,4,5,1
Bank Teller,32000,3,3,0
IT Technician,58000,4,4,1
Fitness Trainer,38000,4,3,0
Interior Designer,60000,4,5,1
Environmental Scientist,75000,5,5,1
Plumber,48000,3,3,1
Architect,85000,5,4,1
Flight Attendant,50000,3,4,0
Librarian,45000,5,5,1
Event Planner,45000,3,4,1
Biologist,70000,5,5,1
Customer Service Rep,35000,3,3,0
UX Designer,95000,5,5,1
Economist,95000,5,5,1
Truck Driver,45000,3,3,0
Medical Technician,52000,4,4,1
Translator,50000,4,5,1
Sales Manager,80000,4,4,1
Operations Manager,90000,4,4,1
Advertising Specialist,62000,3,4,1
Fashion Designer,70000,4,4,1
HR Manager,70000,5,5,1
SEO Specialist,65000,4,4,1
Photographer,45000,3,4,1
Supply Chain Analyst,70000,4,5,1
Maintenance Worker,40000,3,3,0
Software Tester,70000,4,5,1
Biomedical Engineer,90000,5,5,1
Content Writer,50000,4,4,1
Machine Operator,38000,3,3,0
Electric Engineer,95000,4,5,1
Chef,45000,3,4,0
Food Scientist,85000,4,5,1
Mathematician,100000,5,5,1
Database Administrator,85000,4,5,1
Biomedical Scientist,95000,5,5,1
